Word,POS Tag,Frequency
malah,NOUN,39
membuat,VERB,39
pandemic,PROPN,39
promo,NOUN,39
keren,PROPN,39
otomatis,ADJ,39
urgent,PROPN,39
Im,PROPN,39
Help,PROPN,39
memberi,VERB,38
has,PROPN,38
then,NOUN,38
berbeda,ADJ,38
ingin,ADV,38
nama,NOUN,38
used,NOUN,38
this,NOUN,38
first,PROPN,38
metode,NOUN,38
dont,NUM,38
aman,ADJ,38
instant,NOUN,38
job,PROPN,38
Doctor,PROPN,37
berjalan,VERB,37
krn,NOUN,37
Harga,NOUN,37
sini,NOUN,37
delivered,PROPN,37
pengalaman,NOUN,37
Pesan,PROPN,37
quick,NOUN,37
download,NOUN,37
instan,NOUN,37
if,PROPN,37
serta,CONJ,37
semakin,ADV,37
cocok,ADJ,37
hours,NOUN,37
Tp,PROPN,37
Usefull,PROPN,37
sms,NOUN,37
lab,NOUN,37
maupun,CONJ,36
Love,PROPN,36
times,PROPN,36
begitu,ADV,36
work,NOUN,36
diagnosa,NOUN,36
mendapat,VERB,36
siap,VERB,36
Suka,PROPN,36
era,NOUN,36
daerah,NOUN,36
cara,NOUN,36
who,PROPN,36
riwayat,NOUN,36
thanks,NOUN,36
bermasalah,VERB,36
bank,NOUN,36
Apalagi,ADV,36
reply,NOUN,36
Semoga,PROPN,36
repot,NOUN,36
kendala,NOUN,36
review,NOUN,36
Solusi,NOUN,36
titik,NOUN,35
gopay,PROPN,35
consultation,NUM,35
enak,ADJ,35
harganya,NOUN,35
kartu,NOUN,35
people,PROPN,35
me,NOUN,35
much,PROPN,35
tiba2,NOUN,35
nice,PROPN,35
dibeli,VERB,35
dpt,ADV,35
tanggap,VERB,35
ditingkatkan,VERB,35
komplain,NOUN,35
hampir,ADV,35
You,PROPN,35
lg,PROPN,35
dijawab,VERB,35
Not,PROPN,35
biar,NOUN,35
Karena,CONJ,35
said,PROPN,35
para,DET,35
Order,PROPN,34
resepnya,NOUN,34
an,NOUN,34
parah,ADJ,34
doctors,NUM,34
dilakukan,VERB,34
oke,PROPN,34
apapun,NOUN,34
about,NOUN,34
diproses,VERB,34
baru,ADV,34
sempat,ADV,34
antigen,NOUN,34
home,PROPN,34
dimana,ADV,34
link,NOUN,34
terpotong,VERB,34
only,NOUN,34
kala,NOUN,34
without,PROPN,34
consultation,NOUN,34
or,NOUN,34
verifikasi,NOUN,34
because,NOUN,33
udh,NOUN,33
bener,NOUN,33
No,PROPN,33
14,NUM,33
Gak,X,33
Aplikasi,PROPN,33
tak,X,33
install,NOUN,33
what,NOUN,33
And,PROPN,33
check,NOUN,33
Kalo,PROPN,33
already,NOUN,33
usah,NOUN,33
want,NOUN,33
still,NOUN,33
cari,VERB,33
great,NOUN,33
respond,NUM,33
tgl,PROPN,33
pembatalan,NOUN,32
Thx,PROPN,32
padahal,CONJ,32
pertolongan,NOUN,32
notifikasi,NOUN,32
during,NOUN,32
Lebih,ADV,32
tim,NOUN,32
keren,NOUN,32
mereka,PRON,32
merasa,VERB,32
udah,PROPN,32
udh,NUM,32
Bermanfaat,VERB,32
udah,ADV,32
Ga,X,32
diandalkan,VERB,32
solution,PROPN,32
than,NOUN,32
cepet,NOUN,32
bantu,NOUN,32
konsul,VERB,32
dibalas,VERB,32
Penjelasan,NOUN,32
Terbantu,VERB,32
keterangan,NOUN,32
gojek,NUM,32
please,NOUN,32
our,NOUN,31
My,PROPN,31
Proses,NOUN,31
kena,NOUN,31
uangnya,NOUN,31
Sy,PROPN,31
tahu,VERB,31
back,NOUN,31
stok,NOUN,31
sampe,VERB,31
gimana,NOUN,31
respons,NOUN,31
pilih,NOUN,31
lainnya,ADJ,31
sampai,VERB,31
Halo,PROPN,31
fix,NOUN,31
berpengalaman,VERB,31
berobat,VERB,30
dipesan,VERB,30
Mempermudah,VERB,30
rekomendasi,NOUN,30
7,NUM,30
12,NUM,30
team,NOUN,30
harus,VERB,30
terjadi,VERB,30
Terbaik,PROPN,30
halo,PROPN,30
jarak,NOUN,30
tengah,NOUN,30
pencarian,NOUN,30
Sudah,X,30
mengecewakan,ADJ,30
benar,ADJ,30
care,NOUN,30
First,PROPN,30
Setelah,ADP,30
catatan,NOUN,30
respond,PROPN,30
pengantaran,NOUN,29
Namun,CONJ,29
aplikasi,PROPN,29
Banyak,ADV,29
bad,PROPN,29
rating,NOUN,29
sebelumnya,ADV,29
tengah,ADP,29
go,NOUN,29
supaya,CONJ,29
dibilang,VERB,29
helping,NOUN,29
Service,PROPN,29
cant,NOUN,29
manual,ADJ,29
alasan,NOUN,29
begini,VERB,29
lancar,ADJ,29
hrs,NOUN,29
Sukses,NOUN,29
so,NOUN,29
their,PROPN,29
kejelasan,NOUN,29
keranjang,NOUN,29
terlebih,ADV,29
pribadi,ADJ,29
pelanggan,NOUN,28
9,NUM,28
jasa,NOUN,28
well,NOUN,28
layanannya,NOUN,28
tsb,NOUN,28
agar,ADP,28
6,NUM,28
until,NOUN,28
apakah,ADV,28
been,PROPN,28
tanya,NOUN,28
ditambah,VERB,28
praktek,NOUN,28
gampang,VERB,28
responsif,NOUN,28
price,NOUN,28
UI,PROPN,28
Apps,NOUN,28
transfer,NOUN,28
live,NOUN,28
still,PROPN,28
find,NOUN,28
Ketika,CONJ,28
result,PROPN,28
love,NOUN,28
telah,ADV,28
item,NOUN,28
ambil,VERB,27
login,NOUN,27
slow,PROPN,27
upload,VERB,27
tombol,NOUN,27
uninstall,NUM,27
lbh,NOUN,27
aneh,ADJ,27
ask,NOUN,27
other,PROPN,27
Tks,NUM,27
Cool,PROPN,27
15,NUM,27
cannot,NOUN,27
adalah,VERB,27
balik,NOUN,27
loading,NOUN,27
pengirimannya,NOUN,27
tersebut,DET,27
surat,NOUN,27
kalian,NOUN,27
luar,ADJ,27
bulan,NOUN,27
CS,NOUN,27
ketemu,VERB,27
ditanya,VERB,27
dong,PROPN,27
because,PROPN,27
dirumah,NOUN,27
n,ADV,26
sejak,ADP,26
makasih,NOUN,26
Ramah,PROPN,26
kantor,NOUN,26
sebagai,ADP,26
direspon,VERB,26
should,NOUN,26
sekitar,ADP,26
Amazing,PROPN,26
there,NOUN,26
salah,ADJ,26
center,PROPN,26
Mohon,ADV,26
aktif,ADJ,26
ever,NOUN,26
same,NOUN,26
hewan,NOUN,26
Memuaskan,VERB,26
could,NOUN,26
TIDAK,NOUN,26
GA,PROPN,26
batal,NOUN,26
spesialis,VERB,26
cepet,NUM,26
jalan,NOUN,26
helps,PROPN,26
option,NOUN,26
sistemnya,NOUN,26
any,PROPN,26
add,NOUN,26
terintegrasi,VERB,26
point,PROPN,26
balasan,NOUN,26
utk,VERB,26
was,ADP,26
bingung,VERB,26
mohon,ADV,26
Jangan,X,26
satu,NUM,26
stuck,PROPN,25
connect,NOUN,25
akses,NOUN,25
medicine,NOUN,25
siang,NOUN,25
mengecewakan,VERB,25
Recommended,PROPN,25
only,PROPN,25
all,PROPN,25
balas,NOUN,25
Always,PROPN,25
pas,NOUN,25
tentang,ADP,25
store,NOUN,25
medis,ADJ,25
ribet,VERB,25
mantap,PROPN,25
mendesak,VERB,25
pesen,VERB,25
klo,NOUN,25
eh,NOUN,25
muka,NOUN,25
simple,NOUN,25
mulai,VERB,25
nunggu,NOUN,25
kontak,NOUN,25
antri,NOUN,25
Setelah,CONJ,25
Mungkin,ADV,25
ingin,VERB,25
dia,PRON,25
Makasih,PROPN,25
pula,ADV,25
again,NOUN,25
dll,NOUN,25
ditambahkan,VERB,25
than,PROPN,25
mengenai,ADP,24
8,NUM,24
walau,CONJ,24
thank,PROPN,24
parah,NOUN,24
there,PROPN,24
cepet,PROPN,24
process,PROPN,24
pcr,PROPN,24
3x,NOUN,24
mending,NOUN,24
Indonesia,PROPN,24
lgsg,NOUN,24
jaman,NOUN,24
Gak,PROPN,24
kredit,NOUN,24
end,NOUN,24
Beli,PROPN,24
before,NOUN,24
especially,PROPN,24
been,NOUN,24
dulu,ADV,24
jawabannya,NOUN,24
contact,NOUN,24
dibuat,VERB,24
gabisa,NOUN,24
Fitur,NOUN,24
issue,NOUN,24
Pengiriman,PROPN,24
covid,PROPN,24
do,PROPN,24
penting,ADJ,23
terjangkau,VERB,23
Pas,NOUN,23
hubungi,NOUN,23
aps,PROPN,23
which,PROPN,23
yg,PROPN,23
hati,NOUN,23
komunikasi,NOUN,23
dong,NOUN,23
lanjut,ADJ,23
send,NOUN,23
baik,ADP,23
penjelasannya,NOUN,23
improve,NOUN,23
berubah,VERB,23
would,NOUN,23
dimengerti,VERB,23
well,PROPN,23
robot,NOUN,23
list,NOUN,23
responsif,VERB,23
Dari,ADP,23
merespon,VERB,23
Terimakasih,ADV,23
fast,PROPN,23
Mantul,PROPN,23
dah,NOUN,23
DI,PROPN,23
sick,PROPN,23
tracking,NOUN,23
dimana,CONJ,23
easier,NUM,23
kaya,ADJ,23
free,NOUN,23
days,PROPN,23
sepihak,NOUN,23
guna,ADP,23
use,NOUN,23
apabila,CONJ,23
apa2,NOUN,23
Pesanan,PROPN,23
life,PROPN,23
had,NOUN,23
consult,NOUN,23
am,PROPN,23
terkirim,VERB,22
habis,PUNCT,22
since,NOUN,22
singkat,ADJ,22
memiliki,VERB,22
estimasi,NOUN,22
Harus,ADV,22
home,NOUN,22
drive,NOUN,22
tlp,PROPN,22
gojek,PROPN,22
gejala,NOUN,22
super,PROPN,22
Overall,NOUN,22
halodoc,VERB,22
drivernya,NUM,22
many,PROPN,22
terpercaya,ADJ,22
udh,PROPN,22
Sgt,PROPN,22
chat,PROPN,22
Sampai,ADP,22
bugs,PROPN,22
pesen,NUM,22
seharusnya,ADV,22
pokoknya,NOUN,22
do,NOUN,22
answer,NOUN,22
diminta,VERB,22
Saat,NOUN,22
dibayar,VERB,22
aplication,PROPN,22
Semua,DET,22
libur,NOUN,22
call,NOUN,22
ongkir,NOUN,22
produk,NOUN,22
psikolog,NOUN,22
Sering,ADV,22
phone,PROPN,22
Resep,PROPN,22
virtual,NOUN,22
Baru,ADV,22
Waktu,NOUN,22
dipahami,VERB,21
paid,NOUN,21
after,PROPN,21
account,NOUN,21
males,NOUN,21
kesulitan,NOUN,21
aja,X,21
video,NOUN,21
ataupun,CONJ,21
segala,DET,21
kind,NOUN,21
gimana,VERB,21
bertanya,VERB,21
kesalahan,NOUN,21
isi,NOUN,21
know,NOUN,21
Beberapa,DET,21
too,PROPN,21
membatalkan,VERB,21
tinggi,ADJ,21
urgent,VERB,21
mandiri,ADJ,21
g,NOUN,21
ga,NOUN,21
Lalu,CONJ,21
Apa,NOUN,21
on,ADP,21
Berguna,VERB,21
sayang,NOUN,21
begini,NOUN,21
no,NOUN,21
work,PROPN,21
drivernya,NOUN,21
menangani,VERB,21
tanggapan,NOUN,21
pemilihan,NOUN,21
busy,NOUN,21
telemedicine,NOUN,21
harusnya,NOUN,21
Cepat,PROPN,21
lancar,NOUN,21
dpt,PROPN,21
mending,VERB,21
wait,NOUN,21
medis,NOUN,21
diperlukan,VERB,21
kedua,NUM,21
gunakan,VERB,21
antrian,NOUN,20
tiap,DET,20
Just,PROPN,20
try,NOUN,20
lumayan,ADV,20
rugi,NOUN,20
Cepet,PROPN,20
Jadi,ADV,20
tiba,VERB,20
Cant,PROPN,20
penuh,ADJ,20
tengah,ADJ,20
halaman,NOUN,20
tatap,NOUN,20
dekat,ADJ,20
perbaikan,NOUN,20
tdk,ADV,20
will,PROPN,20
long,PROPN,20
helps,NOUN,20
doang,NOUN,20
g,PROPN,20
biasanya,ADV,20
area,NOUN,20
